regionname,statename,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Largo,Florida,,,102858.3333,106208.3333,122158.3333,130866.6667,155458.3333,172775,189141.6667,200691.6667,79372,79480,79738,80422,80852,81903,84088,84686,84937,84948
Gresham,Oregon,184483.3333,162716.6667,171575,191083.3333,208166.6667,230700,268100,295516.6667,323416.6667,336633.3333,106008,107720,108779,109221,110029,110378,111762,111243,109808,109381
Troy,Michigan,163533.3333,162266.6667,180875,204133.3333,223941.6667,239408.3333,260683.3333,271816.6667,282050,291616.6667,81020,81649,82271,83007,83399,83496,84092,84187,84111,84092
Kingsport,Tennessee,99858.33333,103633.3333,107050,101150,107075,107875,113766.6667,125741.6667,131191.6667,135583.3333,52953,52924,52739,52817,52822,52757,52521,53487,54006,54127
Sanford,Florida,,,,,,,,181316.6667,191116.6667,208516.6667,53971,54377,54937,56283,57643,58289,58968,59542,60107,61448
Palm Coast,Florida,126200,116633.3333,115800,133941.6667,141400,155983.3333,173758.3333,185766.6667,206716.6667,221491.6667,75499,76641,77363,78409,80027,81938,84155,86146,87660,89800
Quincy,Massachusetts,283225,275766.6667,281175,305350,329708.3333,342258.3333,360508.3333,382791.6667,423533.3333,443200,92457,92544,92973,93470,93685,93766,94130,94322,94403,94470
Ogden,Utah,117841.6667,99241.66667,106383.3333,114650,124391.6667,136316.6667,146450,169133.3333,185541.6667,208841.6667,83100,83312,83874,84180,84406,85295,86742,87061,87202,87773
Johns Creek,Georgia,278200,273808.3333,255591.6667,297316.6667,324233.3333,332441.6667,348558.3333,356091.6667,382000,384591.6667,77090,79218,81852,82455,82743,82980,83930,84282,84320,84579
Kirkland,Washington,412991.6667,374825,366691.6667,407058.3333,442991.6667,451525,526958.3333,621691.6667,743000,718741.6667,80866,82036,83358,84455,85971,87312,87990,89010,89909,93010
Manteca,California,,164816.6667,172516.6667,234441.6667,274166.6667,299241.6667,337608.3333,363400,393658.3333,414391.6667,67733,69244,70884,71761,73157,75088,76831,79079,81603,83028
Camarillo,California,416716.6667,389333.3333,386041.6667,451458.3333,490383.3333,514916.6667,544558.3333,566050,604900,596866.6667,65257,65515,65656,65882,66517,67171,67141,67403,68883,69888
Farmington Hills,Michigan,135125,127716.6667,140158.3333,164966.6667,186558.3333,197575,214250,236075,239341.6667,250375,79761,80345,80922,81490,81744,81536,81560,81426,80939,80612
Cranston,Rhode Island,,,,,,,,,234658.3333,248308.3333,80757,80881,81066,81033,81248,81306,81221,81022,81335,81456
Jonesboro,Arkansas,113558.3333,112016.6667,117108.3333,124308.3333,127033.3333,132991.6667,132000,140333.3333,149300,152975,67548,68998,70440,71604,72303,73763,74797,75938,77234,78394
Greenwood,Indiana,,,,,,,,,184350,200150,51159,52031,52800,53658,54452,55272,56352,57356,58701,59458
Eau Claire,Wisconsin,,,,,,,153550,160158.3333,166183.3333,174875,66298,66841,67342,67892,67747,67740,68254,68547,68770,68802
Fishers,Indiana,,,,,200508.3333,208008.3333,212541.6667,229058.3333,247791.6667,255008.3333,77832,80503,82389,84416,86865,88656,89809,91606,93407,95310
Smyrna,Georgia,,,,190700,216416.6667,234816.6667,236916.6667,253466.6667,275358.3333,295716.6667,51140,51636,52322,53074,54419,55583,56246,56285,56512,56666
Lakewood,California,388233.3333,349716.6667,347991.6667,405575,439891.6667,472616.6667,507958.3333,537308.3333,571508.3333,580958.3333,80079,80413,80672,80883,80927,80951,80895,80510,79907,79307
