,city,state,2010 Avg Price,2013 Avg Price,2014 Avg Price,2015 Avg Price,2016 Avg Price,2017 Avg Price,2018 Avg Price,2019 Avg Price
115,Richmond,Virginia,143800.0,172800.0,177491.67,181341.67,202758.33,200741.67,208491.67,215711.11
116,Des Moines,Iowa,87308.33,96550.0,101616.67,109633.33,118408.33,125966.67,129000.0,142900.0
117,Ocala,Florida,82266.67,82766.67,83083.33,91616.67,105583.33,118008.33,132650.0,146063.64
118,Boca Raton,Florida,198008.33,214616.67,245900.0,263058.33,279100.0,288908.33,306775.0,309545.45
119,Woodbridge,Virginia,204358.33,256141.67,267425.0,272566.67,284541.67,300408.33,314325.0,329863.64
120,Montgomery,Alabama,100641.67,81241.67,81683.33,80183.33,86275.0,90341.67,95275.0,101009.09
121,Bradenton,Florida,124091.67,124366.67,142875.0,164875.0,184950.0,196675.0,208341.67,223009.09
122,Corona,California,275000.0,335766.67,373608.33,390766.67,409966.67,428550.0,470516.67,484481.82
123,Oceanside,California,297058.33,355558.33,395816.67,413300.0,442916.67,478683.33,509266.67,523118.18
124,Tacoma,Washington,175000.0,157141.67,168383.33,190700.0,219075.0,245366.67,278583.33,304818.18
125,Grand Rapids,Michigan,,82616.67,98141.67,109733.33,121616.67,134725.0,152183.33,164281.82
126,Gainesville,Florida,147525.0,125400.0,124383.33,137783.33,149650.0,162975.0,166966.67,183463.64
127,Yonkers,New York,479358.33,454283.33,473491.67,459233.33,460241.67,490733.33,501125.0,524809.09
128,Glendale,California,,,,,,700880.0,776100.0,798218.18
129,Moreno Valley,California,153833.33,191775.0,233216.67,250708.33,276350.0,291975.0,322608.33,339672.73
130,Akron,Ohio,,45141.67,50575.0,43575.0,48608.33,58133.33,65116.67,71336.36
131,Aurora,Illinois,122941.67,113966.67,132175.0,142341.67,152408.33,168383.33,181716.67,190581.82
132,Wilmington,North Carolina,180825.0,168516.67,177525.0,182758.33,187150.0,201575.0,218333.33,231936.36
133,Huntington Beach,California,555750.0,595241.67,644183.33,652983.33,692591.67,711525.0,766758.33,798963.64
134,Huntsville,Alabama,,119958.33,124408.33,124641.67,133725.0,137933.33,156658.33,163354.55
135,Amarillo,Texas,114200.0,124891.67,129208.33,133016.67,136266.67,137783.33,139658.33,143736.36
136,Eugene,Oregon,220050.0,220858.33,226316.67,230666.67,249908.33,269083.33,299575.0,316818.18
137,Salt Lake City,Utah,209583.33,234433.33,245633.33,259916.67,273858.33,299441.67,328358.33,361718.18
138,Port Saint Lucie,Florida,98825.0,116883.33,128958.33,149041.67,168608.33,187083.33,204225.0,213836.36
139,Salinas,California,228266.67,303308.33,353375.0,386533.33,424158.33,453950.0,483308.33,506000.0
140,Little Rock,Arkansas,154791.67,155383.33,149933.33,154083.33,156266.67,161616.67,154566.67,159309.09
141,Fort Collins,Colorado,,237075.0,252325.0,291008.33,322225.0,351191.67,373891.67,387863.64
142,Hayward,California,265700.0,354708.33,410075.0,456608.33,515958.33,576616.67,636283.33,649681.82
143,Rockford,Illinois,,,66166.67,68391.67,77483.33,82716.67,87275.0,90181.82
144,Evansville,Indiana,94508.33,102758.33,105541.67,112350.0,117458.33,119041.67,119075.0,129027.27
145,Worcester,Massachusetts,163350.0,164225.0,167866.67,180950.0,194016.67,205166.67,221991.67,240472.73
146,Overland Park,Kansas,227257.14,235541.67,229733.33,251475.0,261775.0,271475.0,294133.33,310445.45
147,Lancaster,California,124383.33,147425.0,167450.0,187175.0,216016.67,244283.33,272325.0,282290.91
148,Salem,Oregon,164050.0,156591.67,173875.0,188041.67,209250.0,234633.33,266300.0,279272.73
149,Garden Grove,California,350583.33,393850.0,431291.67,464633.33,502250.0,534208.33,591050.0,600227.27
150,Grand Prairie,Texas,117025.0,134908.33,152225.0,163033.33,178133.33,194616.67,212858.33,223427.27
151,Beaverton,Oregon,224183.33,240966.67,261383.33,282750.0,320816.67,357408.33,382233.33,394127.27
152,Escondido,California,281766.67,367858.33,398608.33,419700.0,448316.67,471975.0,522366.67,517090.91
153,Providence,Rhode Island,,,,,,195514.29,202783.33,208936.36
154,Fort Lauderdale,Florida,185908.33,237850.0,266683.33,273550.0,277966.67,287866.67,314500.0,327190.91
155,Ontario,California,204325.0,260058.33,296775.0,323658.33,346150.0,364833.33,411408.33,420509.09
156,Columbus,Georgia,,85750.0,89841.67,85758.33,87950.0,101566.67,108483.33,106872.73
157,Charleston,South Carolina,223375.0,225158.33,234575.0,251891.67,267191.67,278858.33,306225.0,307763.64
158,Kissimmee,Florida,92975.0,122533.33,133733.33,147841.67,166875.0,186533.33,222400.0,229636.36
159,Chattanooga,Tennessee,108091.67,117741.67,121033.33,136258.33,142908.33,152908.33,157758.33,172500.0
160,Tempe,Arizona,151508.33,150766.67,163700.0,180591.67,205841.67,219691.67,237866.67,249336.36
161,Murfreesboro,Tennessee,138641.67,147041.67,154291.67,171325.0,191041.67,213758.33,234775.0,251690.91
162,Rancho Cucamonga,California,300858.33,363016.67,395508.33,413483.33,431750.0,439366.67,499916.67,506845.45
163,Cape Coral,Florida,91740.0,138841.67,149583.33,166883.33,175641.67,191483.33,217783.33,230454.55
164,Savannah,Georgia,135616.67,147000.0,153000.0,170858.33,176716.67,181475.0,193425.0,194018.18
165,Fredericksburg,Virginia,195383.33,222316.67,234075.0,246900.0,255166.67,265541.67,275908.33,288381.82
166,Killeen,Texas,100033.33,95283.33,91308.33,102516.67,105325.0,112241.67,121725.0,131590.91
167,Palmdale,California,145125.0,164708.33,193458.33,220858.33,245775.0,272316.67,298933.33,315681.82
168,Roanoke,Virginia,135191.67,136375.0,144766.67,151616.67,142025.0,145700.0,147350.0,155763.64
169,Newport News,Virginia,167241.67,150175.0,144516.67,150958.33,162075.0,163991.67,169433.33,173336.36
170,El Cajon,California,274116.67,333075.0,364666.67,400725.0,419900.0,449841.67,480616.67,498236.36
171,Clarksville,Tennessee,120075.0,125233.33,126466.67,129883.33,138916.67,144408.33,158666.67,171463.64
172,Elk Grove,California,228591.67,268075.0,304458.33,323808.33,352933.33,388741.67,421125.0,430290.91
173,Peoria,Arizona,148841.67,163141.67,175750.0,191700.0,211816.67,232308.33,253241.67,273472.73
174,Sugar Land,Texas,219608.33,238875.0,269508.33,282050.0,284366.67,296383.33,290833.33,297136.36
175,Naperville,Illinois,336157.14,330916.67,342066.67,334566.67,308066.67,336741.67,347950.0,370772.73
176,Fairfax,Virginia,407550.0,450116.67,459850.0,471700.0,475225.0,491950.0,511866.67,518963.64
177,Boynton Beach,Florida,140658.33,152966.67,171958.33,184875.0,209908.33,226941.67,236825.0,243045.45
178,Topeka,Kansas,,,,,127525.0,131941.67,131175.0,137036.36
179,McKinney,Texas,178883.33,207716.67,228291.67,258516.67,277050.0,298716.67,307191.67,305545.45
180,Lafayette,Louisiana,,,,162833.33,163391.67,167525.0,167900.0,173000.0
181,Pembroke Pines,Florida,136266.67,167008.33,199433.33,213925.0,239166.67,254258.33,265633.33,284409.09
182,Edmond,Oklahoma,169400.0,188483.33,200466.67,215708.33,209608.33,216025.0,216633.33,236127.27
183,Lakeland,Florida,84208.33,93841.67,101216.67,113375.0,128025.0,142525.0,152125.0,162509.09
184,Pueblo,Colorado,109691.67,112800.0,119900.0,134391.67,148033.33,158000.0,168783.33,184409.09
185,Springfield,Massachusetts,,112075.0,113408.33,120775.0,126966.67,135050.0,148675.0,162527.27
186,Odessa,Texas,,,,,,170387.5,190900.0,222327.27
187,Henrico,Virginia,196258.33,191666.67,195558.33,200500.0,211150.0,219475.0,234900.0,245618.18
188,Midland,Texas,,215075.0,227758.33,221541.67,225658.33,244358.33,273700.0,296981.82
189,Lakewood,Colorado,188233.33,228358.33,240600.0,257950.0,309700.0,333008.33,362866.67,387063.64
190,Cumming,Georgia,216325.0,228683.33,250433.33,260850.0,272941.67,288933.33,308041.67,324800.0
191,Alexandria,Virginia,391408.33,438075.0,434608.33,451650.0,444541.67,444541.67,481433.33,484772.73
192,Tyler,Texas,,142244.44,148483.33,159283.33,165600.0,176033.33,176733.33,188336.36
193,Pomona,California,215466.67,261966.67,308383.33,327083.33,348058.33,375041.67,413508.33,426572.73
194,Visalia,California,,,,,207750.0,223241.67,241175.0,248063.64
195,Cypress,Texas,167041.67,181550.0,201150.0,216200.0,217025.0,231200.0,243333.33,258400.0
196,Round Rock,Texas,173266.67,193833.33,210333.33,227975.0,242325.0,256916.67,270958.33,285736.36
197,Ann Arbor,Michigan,199300.0,240733.33,252400.0,259975.0,276408.33,310883.33,342441.67,356363.64
198,Whittier,California,326516.67,357733.33,399066.67,425916.67,460441.67,494383.33,516966.67,534563.64
199,Kansas City,Kansas,63658.33,57950.0,69891.67,80050.0,88983.33,101800.0,111125.0,121627.27
200,Sunnyvale,California,625416.67,752191.67,864908.33,1054850.0,1134083.33,1317450.0,1558708.33,1457200.0
201,Hollywood,Florida,126266.67,159708.33,181175.0,201325.0,211283.33,232025.0,248508.33,270954.55
